Gene.ID	Gene.Symbol	Protein	Gene.description	EarlyOnset_Alzheimer.s.vs..EarlyOnset_Non_demented.foldChange	EarlyOnset_Alzheimer.s.vs..EarlyOnset_Non_demented.pValue	LateOnset_Alzheimer.s.vs..LateOnset_Non_demented.foldChange	LateOnset_Alzheimer.s.vs..LateOnset_Non_demented.pValue
ENSG00000001084	GCLC	sp|P48506|GSH1_HUMAN	glutamate-cysteine ligase catalytic subunit	-0.231273169928907	0.260887814830505	0.26796901537557	0.0678111930102503
ENSG00000002549	LAP3	sp|P28838|AMPL_HUMAN	leucine aminopeptidase 3	0.0958658357352273	0.397888725631477	0.163867865450027	0.0560537502251555
ENSG00000002834	LASP1	sp|Q14847|LASP1_HUMAN	LIM and SH3 protein 1	-0.115949614944152	0.723405345325519	-0.480047921233279	0.0506421164258869
ENSG00000004142	POLDIP2	sp|Q9Y2S7|PDIP2_HUMAN	DNA polymerase delta interacting protein 2	-0.155207558765329	0.780614027694434	-0.143085515225823	0.695873606922028
ENSG00000004478	FKBP4	sp|Q02790|FKBP4_HUMAN	FKBP prolyl isomerase 4	0.0155428490610253	0.966704659048289	0.42768755898057	0.0495795245026654
ENSG00000004660	CAMKK1	sp|Q8N5S9|KKCC1_HUMAN	calcium/calmodulin dependent protein kinase kinase 1	0.764602428253504	0.0352576941214908	-0.28178878501128	0.111282208812871
ENSG00000004766	VPS50	sp|Q96JG6|VPS50_HUMAN	VPS50 subunit of EARP/GARPII complex	-0.139374296706073	0.418925881008021	0.0250102083447885	0.83118010375898
ENSG00000004776	HSPB6	sp|O14558|HSPB6_HUMAN	heat shock protein family B (small) member 6	-0.456391617020981	0.263626333259244	-0.309180419119281	0.242112403668647
ENSG00000004779	NDUFAB1	sp|O14561|ACPM_HUMAN	NADH:ubiquinone oxidoreductase subunit AB1	0.0892951225419954	0.559492927072826	0.548563869260176	0.00264331095847869
ENSG00000004864	SLC25A13	sp|Q9UJS0|CMC2_HUMAN	solute carrier family 25 member 13	0.0287925631652968	0.876090769374418	-0.115591558131214	0.27495143651751
ENSG00000004939	SLC4A1	sp|P02730|B3AT_HUMAN	solute carrier family 4 member 1 (Diego blood group)	-0.442139939854573	0.168016066263503	-0.371241540414092	0.0828226448077599
ENSG00000005007	UPF1	sp|Q92900|RENT1_HUMAN	UPF1 RNA helicase and ATPase	0.0991977237448533	0.517537926553608	-0.109684380107877	0.289321631694764
ENSG00000005022	SLC25A5	sp|P05141|ADT2_HUMAN	solute carrier family 25 member 5	0.0290695089230321	0.828812069006307	-0.249929620375291	0.0190846628146374
ENSG00000005194	CIAPIN1	sp|Q6FI81|CPIN1_HUMAN	cytokine induced apoptosis inhibitor 1	-0.115589944609345	0.763784727567795	-0.113109926818181	0.65856310300925
ENSG00000005810	MYCBP2	sp|O75592|MYCB2_HUMAN	MYC binding protein 2	-0.186230645546151	0.57977389477084	-0.159679794582691	0.476180851372222
ENSG00000005882	PDK2	sp|Q15119|PDK2_HUMAN	pyruvate dehydrogenase kinase 2	-0.00572096882430867	0.973155633621253	-0.302646035336098	0.0164396502740339
ENSG00000005893	LAMP2	sp|P13473|LAMP2_HUMAN	lysosomal associated membrane protein 2	-0.236344769146543	0.05547480628802	-0.0936000030690541	0.158100565172346
ENSG00000006125	AP2B1	sp|P63010|AP2B1_HUMAN	adaptor related protein complex 2 subunit beta 1	-0.109342557626074	0.523520643479736	-0.0773195309810054	0.50103100240706
ENSG00000006282	SPATA20	sp|Q8TB22|SPT20_HUMAN	spermatogenesis associated 20	-0.109593352384856	0.398915571069427	-0.557442908429051	0.00140828680756469
ENSG00000006625	GGCT	sp|O75223|GGCT_HUMAN	gamma-glutamylcyclotransferase	-0.143732416669986	0.199373752841748	0.774798890489436	0.000247042737604665
ENSG00000006740	ARHGAP44	sp|Q17R89|RHG44_HUMAN	Rho GTPase activating protein 44	0.0431461706675099	0.799601084346815	-0.28815429273515	0.0296382842664406
ENSG00000007168	PAFAH1B1	sp|P43034|LIS1_HUMAN	platelet activating factor acetylhydrolase 1b regulatory subunit 1	0.0639757751291867	0.836201415985365	0.0567466406147593	0.765158561367994
ENSG00000007237	GAS7	sp|O60861|GAS7_HUMAN	growth arrest specific 7	0.0858585664135963	0.448740702199501	-0.487708338595951	0.00141671738383993
ENSG00000007402	CACNA2D2	sp|Q9NY47|CA2D2_HUMAN	calcium voltage-gated channel auxiliary subunit alpha2delta 2	-0.199766710215052	0.367083776481251	-0.198946802164933	0.184411915609703
ENSG00000007923	DNAJC11	sp|Q9NVH1|DJC11_HUMAN	DnaJ heat shock protein family (Hsp40) member C11	-0.0934396300326365	0.0896750601535988	-0.215384118309996	0.00110730715088062
ENSG00000008056	SYN1	sp|P17600|SYN1_HUMAN	synapsin I	0.034813337852872	0.755892107328334	0.539920868120504	0.000881468431449981
ENSG00000008256	CYTH3	sp|O43739|CYH3_HUMAN	cytohesin 3	-0.172518357250084	0.328016944905872	-0.0576958952940409	0.616876158637304
ENSG00000008988	RPS20	sp|P60866|RS20_HUMAN	ribosomal protein S20	0.0908232075629437	0.582399930524495	0.102977768624352	0.353286590612513
ENSG00000009307	CSDE1	sp|O75534|CSDE1_HUMAN	cold shock domain containing E1	0.0522231721207736	0.57864711908948	-0.243767649864113	0.00866627928153635
ENSG00000009844	VTA1	sp|Q9NP79|VTA1_HUMAN	vesicle trafficking 1	-0.0566124106484101	0.495112489506276	-0.0501437839277823	0.356780146569802
ENSG00000010017	RANBP9	sp|Q96S59|RANB9_HUMAN	RAN binding protein 9	-0.00847190744497794	0.967286824323789	0.303853242172714	0.0710143147137734
ENSG00000010256	UQCRC1	sp|P31930|QCR1_HUMAN	ubiquinol-cytochrome c reductase core protein 1	-0.172448628780458	0.553426355283475	-0.406695921975346	0.064653405032335
ENSG00000010278	CD9	sp|P21926|CD9_HUMAN	CD9 molecule	0.0661897766765283	0.518798052749833	0.964504586227203	0.000125153826690255
ENSG00000011021	CLCN6	sp|P51797|CLCN6_HUMAN	chloride voltage-gated channel 6	-0.259130016335755	0.313712300584329	-0.426932297164091	0.0347271392857746
ENSG00000011295	TTC19	sp|Q6DKK2|TTC19_HUMAN	tetratricopeptide repeat domain 19	0.00882494983615345	0.966704659048289	-0.62850026674478	0.0155765266573697
ENSG00000011347	SYT7	sp|O43581|SYT7_HUMAN	synaptotagmin 7	0.150451557803329	0.199373752841748	-0.14845668547724	0.0726297644319088
ENSG00000011376	LARS2	sp|Q15031|SYLM_HUMAN	leucyl-tRNA synthetase 2, mitochondrial	-0.0623076534945758	0.677982937068289	-0.256809894353457	0.0312474311354492
ENSG00000011426	ANLN	sp|Q9NQW6|ANLN_HUMAN	anillin actin binding protein	0.0247941937215898	0.824955350112172	1.22110010635361	6.34247608305207e-05
ENSG00000011454	RABGAP1	sp|Q9Y3P9|RBGP1_HUMAN	RAB GTPase activating protein 1	0.042073229840156	0.725328045352806	0.250785217942081	0.0453421463255678
ENSG00000011485	PPP5C	sp|P53041|PPP5_HUMAN	protein phosphatase 5 catalytic subunit	-0.276067190866667	0.0502225822075106	0.200577543274854	0.0218469554957292
ENSG00000011677	GABRA3	sp|P34903|GBRA3_HUMAN	gamma-aminobutyric acid type A receptor subunit alpha3	-0.277906015532285	0.737800329631374	-0.154165813214469	0.774372973245794
ENSG00000012822	CALCOCO1	sp|Q9P1Z2|CACO1_HUMAN	calcium binding and coiled-coil domain 1	-0.23692322347619	0.680184602780708	-0.621022551186681	0.161971331503838
ENSG00000013016	EHD3	sp|Q9NZN3|EHD3_HUMAN	EH domain containing 3	-0.197123099282059	0.551459502406099	-0.223266630381036	0.3132192171854
ENSG00000013297	CLDN11	sp|O75508|CLD11_HUMAN	claudin 11	-0.493831946476968	0.559492927072826	0.524956675580878	0.353507508414284
ENSG00000013364	MVP	sp|Q14764|MVP_HUMAN	major vault protein	-0.103201431756401	0.193016302553431	0.246844105517769	0.00339450595508982
