Gene.ID	Gene.Symbol	X1.AD_A	X2.AD_A	X3.AD_A	X4.AD_A	X1.AD_B	X2.AD_B	X3.AD_B	X4.AD_B	X1.AD_C	X2.AD_C	X3.AD_C	X4.AD_C
ENSG00000001084	GCLC	177410	9039	187860	283610	129980	5569.5	145360	214500	88589	4263.4	94907	140750
ENSG00000002549	LAP3	695550	41500	880290	1342800	307980	18254	393850	611670	255580	15241	335470	521390
ENSG00000002834	LASP1	155330	9109.3	191130	202710	59949	2882.2	74013	86755	26722	1183.5	31819	41570
ENSG00000004142	POLDIP2	7455.5	214.77	9254.1	10019	46733	2304.1	52367	65563	31566	1976.6	34692	43261
ENSG00000004478	FKBP4	46344	2755.9	43103	78314	109250	6118.6	101810	171190	48151	1641.7	43131	73826
ENSG00000004660	CAMKK1	410490	36659	564960	562050	153100	13733	211300	185840	110670	10291	147370	164480
ENSG00000004766	VPS50	211280	10488	223810	296680	47210	2275.1	53471	73363	26549	1024.8	29103	38289
ENSG00000004776	HSPB6	9277.1	322.42	10950	11252	2775.6	126.4	3649.5	3716.4	2278.4	60.647	2761.7	3611.2
ENSG00000004779	NDUFAB1	82520	4887.6	80153	157540	45378	3235.5	48397	82513	18785	916.55	18331	35182
ENSG00000004864	SLC25A13	187550	8615	207480	252440	116730	6477.9	144940	189100	27231	1153.3	32134	41238
ENSG00000004939	SLC4A1	102610	3990.1	75294	77051	43101	2561.1	35931	37240	20166	1254.6	20178	18712
ENSG00000005007	UPF1	297340	13839	339300	393320	42588	2293.8	53476	59910	36132	2192.7	48373	56336
ENSG00000005022	SLC25A5	1284600	66816	1353200	1519200	827030	44542	891930	1014500	514210	27509	549920	607270
ENSG00000005194	CIAPIN1	94186	3619.9	97391	116670	NA	NA	NA	NA	43940	2431.6	48786	60522
ENSG00000005810	MYCBP2	99813	4532.1	107430	136840	14895	825.25	17703	19811	21571	750.25	25302	29045
ENSG00000005882	PDK2	183130	8276.9	212100	226650	62510	3084.5	77547	82738	47173	2592.9	57494	58780
ENSG00000005893	LAMP2	206810	10567	248610	305220	109310	5529.7	131940	162340	49783	1969.3	61021	74532
ENSG00000006125	AP2B1	747450	43284	944050	1171000	417700	19373	518500	648770	316010	15957	395210	488090
ENSG00000006282	SPATA20	36897	2311.6	52904	49419	98446	5088.3	124700	109280	21067	999.97	27533	24076
ENSG00000006625	GGCT	187380	8657.2	125690	311210	184530	8180.3	123990	302890	119200	5647.4	81107	212670
ENSG00000006740	ARHGAP44	169380	8500.8	188530	214310	114190	6240.2	130040	138800	26314	1250.3	29753	35673
ENSG00000007168	PAFAH1B1	45315	2938.7	48651	58814	96278	4957.4	103740	131940	84243	4066.8	88036	119760
ENSG00000007237	GAS7	174830	10387	209800	189670	134850	6671	155460	142950	80017	4003.6	95154	83557
