Run	Fraction	TechRepMixture	Channel	Condition	BioReplicate	Mixture
140725_Sunil_iTRAQ_AD_01_A	1	AD_A	channel.1	EarlyOnset_Non_demented	1	1
140725_Sunil_iTRAQ_AD_01_A	1	AD_A	channel.2	EarlyOnset_Alzheimer's	2	1
140725_Sunil_iTRAQ_AD_01_A	1	AD_A	channel.3	LateOnset_Non_demented	3	1
140725_Sunil_iTRAQ_AD_01_A	1	AD_A	channel.4	LateOnset_Alzheimer's	4	1
140725_Sunil_iTRAQ_AD_01_B	1	AD_B	channel.1	EarlyOnset_Non_demented	1	1
140725_Sunil_iTRAQ_AD_01_B	1	AD_B	channel.2	EarlyOnset_Alzheimer's	2	1
140725_Sunil_iTRAQ_AD_01_B	1	AD_B	channel.3	LateOnset_Non_demented	3	1
140725_Sunil_iTRAQ_AD_01_B	1	AD_B	channel.4	LateOnset_Alzheimer's	4	1
140725_Sunil_iTRAQ_AD_01_C	1	AD_C	channel.1	EarlyOnset_Non_demented	1	1
140725_Sunil_iTRAQ_AD_01_C	1	AD_C	channel.2	EarlyOnset_Alzheimer's	2	1
140725_Sunil_iTRAQ_AD_01_C	1	AD_C	channel.3	LateOnset_Non_demented	3	1
140725_Sunil_iTRAQ_AD_01_C	1	AD_C	channel.4	LateOnset_Alzheimer's	4	1
140725_Sunil_iTRAQ_AD_02_A	2	AD_A	channel.1	EarlyOnset_Non_demented	1	1
140725_Sunil_iTRAQ_AD_02_A	2	AD_A	channel.2	EarlyOnset_Alzheimer's	2	1
140725_Sunil_iTRAQ_AD_02_A	2	AD_A	channel.3	LateOnset_Non_demented	3	1
140725_Sunil_iTRAQ_AD_02_A	2	AD_A	channel.4	LateOnset_Alzheimer's	4	1
140725_Sunil_iTRAQ_AD_02_B	2	AD_B	channel.1	EarlyOnset_Non_demented	1	1
140725_Sunil_iTRAQ_AD_02_B	2	AD_B	channel.2	EarlyOnset_Alzheimer's	2	1
140725_Sunil_iTRAQ_AD_02_B	2	AD_B	channel.3	LateOnset_Non_demented	3	1
140725_Sunil_iTRAQ_AD_02_B	2	AD_B	channel.4	LateOnset_Alzheimer's	4	1
140725_Sunil_iTRAQ_AD_02_C	2	AD_C	channel.1	EarlyOnset_Non_demented	1	1
140725_Sunil_iTRAQ_AD_02_C	2	AD_C	channel.2	EarlyOnset_Alzheimer's	2	1
140725_Sunil_iTRAQ_AD_02_C	2	AD_C	channel.3	LateOnset_Non_demented	3	1
140725_Sunil_iTRAQ_AD_02_C	2	AD_C	channel.4	LateOnset_Alzheimer's	4	1
